sid,observation_time,variable,bucket,object_key,object_size_bytes,object_etag,access_date
2021185N13121,2021-07-03T18:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/202107/e5.oper.an.pl.128_131_u.ll025uv.2021070300_2021070323.nc,1538410330,5efefe1622f8a89eb2da55bf6233b25e-184,2026-08-02
2021185N13121,2021-07-03T18:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/202107/e5.oper.an.pl.128_132_v.ll025uv.2021070300_2021070323.nc,1714600303,1d754311da51a9119d9306ff8f6947fc-205,2026-08-02
2021185N13121,2021-07-04T18:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/202107/e5.oper.an.pl.128_157_r.ll025sc.2021070400_2021070423.nc,1372544066,d33faa1f633ee3d2817f4fc325e639af-164,2026-08-02
2021185N13121,2021-07-04T18:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/202107/e5.oper.an.pl.128_131_u.ll025uv.2021070400_2021070423.nc,1551429143,6548625889ad85853d9498efe55c6d90-185,2026-08-02
2021185N13121,2021-07-04T18:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/202107/e5.oper.an.pl.128_132_v.ll025uv.2021070400_2021070423.nc,1720512072,37e71acf8b354d788a2a9a19cf40bed1-206,2026-08-02
2021185N13121,2021-07-05T18:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/202107/e5.oper.an.pl.128_157_r.ll025sc.2021070500_2021070523.nc,1380063319,d93f27ee960015381aec2fb0f4534914-165,2026-08-02
2021185N13121,2021-07-05T18:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/202107/e5.oper.an.pl.128_131_u.ll025uv.2021070500_2021070523.nc,1549763752,f8c0e0d4fde3ca7d37b2ec0816c08683-185,2026-08-02
2021185N13121,2021-07-05T18:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/202107/e5.oper.an.pl.128_132_v.ll025uv.2021070500_2021070523.nc,1732087537,c00d1f89275b5182a96cdaade058071c-207,2026-08-02
2021185N13121,2021-07-06T15:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/202107/e5.oper.an.pl.128_157_r.ll025sc.2021070600_2021070623.nc,1380321991,299b039b6aee5c1afc19d294ad35a882-165,2026-08-02
2021185N13121,2021-07-06T15:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/202107/e5.oper.an.pl.128_131_u.ll025uv.2021070600_2021070623.nc,1545519421,c256cf1a90dfae7a1847c58c44db8452-185,2026-08-02
2021185N13121,2021-07-06T15:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/202107/e5.oper.an.pl.128_132_v.ll025uv.2021070600_2021070623.nc,1723767126,65199ab719f0c3434ae11c1b4d5c8a72-206,2026-08-02
2022208N15143,2022-07-26T12:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/202207/e5.oper.an.pl.128_157_r.ll025sc.2022072600_2022072623.nc,1387969702,a2c57664d03375cc940d3275a73080c0-166,2026-08-02
2022208N15143,2022-07-26T12:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/202207/e5.oper.an.pl.128_131_u.ll025uv.2022072600_2022072623.nc,1552329348,bbdf120eb52ce16215389afccf87dbd5-186,2026-08-02
2022208N15143,2022-07-26T12:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/202207/e5.oper.an.pl.128_132_v.ll025uv.2022072600_2022072623.nc,1734583755,021ec8eaf64d01e6180a11c6ecabc3e6-207,2026-08-02
2022208N15143,2022-07-27T12:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/202207/e5.oper.an.pl.128_157_r.ll025sc.2022072700_2022072723.nc,1383006670,135a80f1baa2e1e9bd615bd06a702032-165,2026-08-02
