sid,name,outcome,endpoint_time,endpoint_type,observation_time,hours_to_endpoint,center_lat,center_lon,pair_id
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-06T06:00:00+00:00,-6,20.7,120.0,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-06T09:00:00+00:00,-3,21.2,120.1,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-08-30T06:00:00+00:00,-72,6.4,136.0,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-08-30T09:00:00+00:00,-69,6.4,136.0,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-08-30T12:00:00+00:00,-66,6.4,136.0,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-08-30T15:00:00+00:00,-63,6.4,135.3,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-08-30T18:00:00+00:00,-60,6.4,134.7,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-08-30T21:00:00+00:00,-57,6.4,134.1,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-08-31T00:00:00+00:00,-54,6.4,133.6,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-08-31T03:00:00+00:00,-51,6.6,133.2,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-08-31T06:00:00+00:00,-48,7.0,132.8,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-08-31T09:00:00+00:00,-45,7.5,132.3,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-08-31T12:00:00+00:00,-42,8.0,131.9,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-08-31T15:00:00+00:00,-39,8.6,131.4,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-08-31T18:00:00+00:00,-36,9.3,130.9,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-08-31T21:00:00+00:00,-33,10.0,130.4,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-09-01T00:00:00+00:00,-30,10.8,129.8,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-09-01T03:00:00+00:00,-27,11.5,129.3,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-09-01T06:00:00+00:00,-24,12.2,128.8,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-09-01T09:00:00+00:00,-21,12.9,128.2,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-09-01T12:00:00+00:00,-18,13.4,127.6,4
2019243N06136,LINGLING,1,2019-09-02T06:00:00+00:00,first_US_TS_or_34kt,2019-09-01T15:00:00+00:00,-15,13.9,127.2,4
